Circumstances,Target
performing maritime patrol flight guadalcanal island seaplane crashed sea unknown circumstance trace aircraft crew member ever found,51
aircraft left raf scampton evening may attack sorpe dam located southeast dortmund overflying germany night aircraft shot german flak crashed haldern killing seven crew member crew th squadron flt robert norman george barlow pilot po samuel leslie whillis flight engineer fo philip sydney burgess navigator po alan gillespie air bomber fo charles rowland williams wireless operator air gunner fo harvey sterling glinz wireless operator air gunner sgt jack robert george liddell air gunner,2
aircraft left raf scampton evening may attack mhne dam located east dortmund overflying germany night crew lost orientation convinced flying wrong direction captain decided reduce altitude follow canal southeast flying low altitude aircraft hit high tension cable crashed huge explosion seven crew member killed crew th squadron flt william astell pilot sgt john kinnear flight engineer po floyd alvin wile navigator fo donald hopkinson air bomber sgt abram garshowitz wireless operator air gunner sgt francis anthony garbas wireless operator air gunner sgt richard bolitho air gunner,2
aircraft left raf scampton evening may attack sorpe dam located southeast dortmund overflying netherlands night altitude foot aircraft shot german flak crashed waddenzee texel seven crew member killed crew th squadron po vernon william byers pilot sgt alastair james taylor flight engineer po james herbert warner navigator sgt arthur neville whitaker air bomber sgt john wilkinson wireless operator air gunner sgt charles mcallister jarvie air gunner fsgt james mcdowell air gunner,2
approaching dutch coast bombing mission aircraft shot german flak crashed sea castricum five crew member killed sixth occupant rescued taken pow crew th b lt joseph h jones nd lt anthony alaimo nd lt norris k calkin sgt marvin l harbour tsgt robert steffen ssgt milton e littrell,77
approaching dutch coast bombing mission twin engine aircraft shot german flak crashed sea mile ijmuiden five crew member killed sixth occupant rescued taken pow crew nd b nd lt edward r norton nd lt james norton lt alvin x zeindenfeld ssgt ralph h mcdougall ssgt harrison e kegg sgt bennett w longworth,77
approaching dutch coast aircraft shot german flak crashed sea two mile west ijmuiden crew member killed five others rescued crew nd bgth b lt col william r purinton nd lt william h kinney lt edward f jefferis jr ssgt jean j duhamel ssgt robert j gunther sgt lester f miller,77
aircraft left raf scampton evening may attack lister dam located region dortmund overflying germany night aircraft shot german flak crashed boselagerschen forest six crew member killed crew th squadron po w h ottley sgt r marsden fo j k barrett sgt j guterman fsgt l johnston sgt f tee sgt h strange,1
aircraft hit debris midair collision marauder captain attempted emergency landing field aircraft came rest near bodegraven aircraft damaged beyond repair six crew member taken pow crew nd b lt david v wurst nd lt robert l starr nd lt e speer cpl george heski ssgt robert j dempsey sgt reginald foster,59
flying west utrecht aircraft collided another usaaf bb marauder registered carrying crew six well aircraft went control crashed field located bodegraven west utrecht two crew survived aircraft eight occupant killed crew nd b cpt william converse nd lt berton h ramsey lt arthur e garni tsgt james thompson sgt kenneth h vonlindern sgt frank lamonica,77
approaching rotterdam west bombing mission aircraft shot german flak crashed maas river located maassluis two crew member killed four others taken pow crew th b lt vincent garrambone nd lt leonard lang nd lt james r hoel sgt john l stefanowicz sgt john logan sgt melvin cage,4
approaching rotterdam west aircraft shot german flak crashed field located rozenburg three crew member killed three others taken pow crew nd bgnd b lt col robert w stillman lt elli j resweber nd lt william r betz ssgt morgan freeman tsgt clyde willis ssgt edward k hagetter,4
crew performing training sortie raf jurby isle man en route twin engine hit telegraph wire flew ground one mile north tadcaster five crewman killed crew th aos po harry rhodes pilot sgt george ervin bleier observer navigator lac peter geoffrey wilson observer navigator sgt percy annetts wireless operator air gunner sgt gerald henry charles watkins wireless operator air gunner,2
aircraft left raf scampton evening may attack mhne dam located east dortmund following uneventful mission overflying netherlands night return base aircraft shot german flak crashed flame field seven crew member killed crew th squadron sl h young sgt r horsfall sgt c w robert sgt l nichols fo v macausland sgt g yeo sgt l ibbotson,1
aircraft left raf scampton evening may attack mhne dam located east dortmund following uneventful mission returning base aircraft shot german flak crashed field located netterden border germany seven crew member killed crew th squadron sl henry eric maudslay pilot sgt j marriott flight engineer fo r urquhart navigator wo p cottam wireless operator po j fuller bomb aimer fo w j tytherleigh air gunner sgt n r burrow air gunner,2
aircraft left raf scampton evening may attack sorpe dam located southeast dortmund overflying netherlands night aircraft shot german flak crashed flame field seven crew member killed crew th squadron po lewis johnstone burpee pilot sgt guy pegler flight engineer sgt thomas jaye navigator fsgt james lamb arthur air bomber po leonard george weller wireless operator air gunner sgt william charles arthur long air gunner wo joseph gordon brady air gunner,2
aircraft left raf scampton evening may attack mhne dam located east dortmund approaching target aircraft hit german flak left wing left tank hit bullet caught fire second later left wing detached aircraft crashed five crew member killed two others injured crew th squadron po f burcher fsgt j w fraser flt j v hopgood sgt c brennan fo k earnshaw sgt j minchin po g h gregory,3
approaching raf sywell pilot forced attempt emergency landing unknown reason aircraft crash landed field damaged beyond repair three occupant escaped uninjured,45
night training flight aircraft hit hill located southwest nairn three crew member seriously injured four others killed two day later one survivor died injury crew th otu flt raymond wilson pitt mcfarland pilot sgt kenneth johnson sampson pilot fo alexander chalmers barrie navigator sgt ronald hartley air bomber fsgt arthur thomas hawkins wireless operator air gunner sgt ronald alfred hartwell wireless operator air gunner sgt padley air gunner,76
swerved take veered runway came rest casualty,53
crashed unknown circumstance bering sea adak island maritime patrol flight trace aircraft crew ever found,51
shortly take sitka harbor climbing height foot seaplane stalled crashed bay broke two occupant managed escape aircraft drifted rock destroyed,67
take run one engine failed pilot applied brake aircraft decelerate expected captain decided retract landing gear aircraft skidded belly several yard coming rest occupant uninjured aircraft damaged beyond repair,56
crew left sochiadler end afternoon supply mission soldier based crimea approaching crimea crew encountered poor weather condition three target inaccessible condition captain decided return sochi weather condition worsened possible land crew diverted sukhumi landing refused captain eventually took decision return adler airport approach night height meter airplane hit slope mountain located km north airport near matsesta six crew member killed,33
en route crew forced attempt emergency landing following engine failure aircraft crashed field km paramaribozanderij airport occupant fate remains unknown,49
uneventful bombing mission airfield rabaulvunakanau aircraft shot pilot japanese fighter lihir island crashed put put seven crew member killed four others taken pow crew rd bg cpt joseph w geddes pilot nd lt leon king st lt leslie w neuman nd lt saul albert nd lt william bujold navigator tsgt william r moore flight engineer tsgt emil gentry ssgt ernest w burnside cpl john j mulligan pvt john l honold pvt robert e george,4
aircraft left raf ashbourne short test flight one pilot two passenger board en route cruising low height twin engine aircraft hit power cable crashed onto small hill three occupant killed crew nd otu fo archibald douglas vincent forsyth pilot passenger cpl harry garnet sylvester lac harry charles halestrap,17
aircraft left port moresby mile airfield morning flew dobodura stock bomb loaded left dobodura attack rabaulvunakanau airport approaching target aircraft shot pilot japanese fighter four engine hit bullet captain ordered crew bail three crewman able control aircraft went spin crashed st george channel rabaul eight occupant killed crew rd bg maj paul williams pilot nd lt john rippy copilot msgt gordon r manuel bombardier nd lt richard u aguirre navigator ssgt robert b gill jr flight engineer sgt edward driscoll radio operator sgt lawrence l rexroat air gunner sgt robert curry pfc william r smith air gunner sgt joseph f murray air gunner passenger st lt robert f heller,4
take run aircraft hit gun pit went control veered runway came rest field five crew member unhurt aircraft damaged beyond repair crew th squadron po b wetter pilot cpt eccles pilot cpt jesserun navigator f weber wireless operator vernon mclean air gunner,54
take roll aircraft went control came rest near runway end casualty aircraft damaged beyond repair,54
touchdown great fallsgore field single engine aircraft went control ground looped casualty,65
crew decided take direction rising ground side wind normal takeoff direction aircraft lifted close end runway made turn low height low speed order come clear hill ahead stalled came collided earth wall copilot killed occupant injured,24
aircraft left raf dishforth evening may bombing mission dortmund overflying netherlands night aircraft shot pilot german fighter crashed field five crew member killed crew th squadron sgt l g sutherland,3
aircraft left raf kirmington evening may bombing mission dortmund cruising altitude metre netherlands night aircraft shot pilot german fighter crashed flame field located buurse south enschede five crew member killed crew th squadron sgt j r stewart,3
approach luluk bay completed poor weather condition seaplane hit water surface went control sank killing eight crew member,33
crashed landing port stephen crew fate remains unknown,49
following uneventful maritime patrol mission atlantic aircraft crew returning base raf lough erne early morning approaching irish coast west aircraft crashed unknown circumstance sea clare island west wesport crew member killed crew nd squadron fo ernest f paige pilot fo james w clarke pilot sgt william g hopps pilot wo wallace roy thompson navigator sgt james hird flight engineer sgt donahan odowd flight engineer sgt john rowe wireless operator air gunner sgt david purvis wireless operator air gunner sgt derek h richardson wireless operator air gunner sgt ronald sherwoodwireless operator air gunner wo robert b bryers air gunner,51
landing undercarriage collapsed aircraft slid belly came rest eight crew member uninjured aircraft damaged beyond repair,56
crashed unknown circumstance km east karachi crew fate unknown,50
final approach raf hooton park performing training mission captain decided make go around climbing aircraft stalled dove ground crashed field four crew member critically injured hour later two died injury crew th r fsgt russell charles denny sgt j r bazire sgt austin sgt f j spillane,1
final approach raf silloth height less foot aircraft stalled hit runway surface aircraft damaged beyond repair pilot unhurt,63
crashed unknown circumstance sea km half assini crew fate remains unknown,50
overflying colorado aircraft hit slope black mountain located mile west guffey pilot sole board killed crew cpt robert e mcintyre pilot nd lt william h eisenman jr copilot,4
training sortie cruising millom twin engine aircraft crashed sea unknown circumstance killing crew member,47
crew consisted three member soviet air force czech interpreter en route aircraft went control dove ground crashed north fearnan four occupant killed crew th ftu maj aleksandr gruzdin pilot slt aleksandr andrejevich aleksejev flight engineer slt william dramin passenger sgt francis drahovzal,3
descending velkal airport cloud aircraft hit slope mountain destroyed three crew member killed,38
engaged bombing mission rennes aircraft crashed unknown circumstance clayes seven crew member killed three others injured crew th squadron st lt jack l mc math pilot fo ernie j dickenson copilot nd lt edwin martin navigator st lt william peterson bombardier tsgt lear e godbey radio operator tsgt gerald v olson air gunner ssgt arthur shilo air gunner ssgt raymond masiero air gunner ssgt harry j boegaholz air gunner ssgt virgil b gregory air gunner,51
crew left hamilton afb morning routine training sortie en route pilot informed ground position little later aircraft hit tree top crashed hilly terrain located ten mile northeast covelo six crew member killed photo httpwwwaviationarchaeologycombtdayhtm,13
performing training flight aircraft collided raf anson registered dj carrying crew five well collision occurred unknown circumstance east maryport aircraft crashed field killing ten crew member aircraft crew sgt charles anderton pilot fo edwin creed lac harry hudson wireless operator air gunner fo lyn rees lac fred wilson wireless operator air gunner,51
performing training flight twin engine aircraft collided raf vickers wellington registered hz carrying crew five well collision occurred unknown circumstance east maryport aircraft crashed field killing ten crew member aircraft crew th afu po alexander iver macrae pilot sgt geoffrey basil temple wymer navigator fsgt michael henry cornell navigator sgt thomas green wireless operator air gunner sgt john thomas sutherland air gunner,51
crashed unknown circumstance near sarasotabradenton airport five crew member killed,41
aircraft left lisbonportela de sacavm lt regular schedule flight bristolwhitchurch airport cruising bay biscay aircraft intercepted shot eight german junker ju fighter civil aircraft went control crashed sea km north la coruna occupant among british actor leslie howard killed crew cpt quirinus tepas obe pilot cpt dirk de koning pilot cornelis van brugge radio operator engbertus rosevink flight engineer passenger leslie howard alfred chenhalls kenneth stonehouse evelyn peggy margetts stonehouse rotha hutcheon petra hutcheon carolina hutcheon cecelia emilia falla paton tyrrell mildmay shervington ivan james sharp wilfrid israel francis german cowlrick gordon thompson maclean,16
completing supply mission soldier based behind enemy line crew returning base locked german antiaircraft searchlight nine minute later aircraft shot german antiaircraft fire dove ground crashed killing crew member,11
aircraft engaged maritime patrol flight biscay bay sar mission following recent crash boac dc en route seaplane attacked eight german junker ju despite situation damage pilot able leave combat zone flew back uk approaching coast cornwall captain decided ditch aircraft hundred yard shore crew member killed occupant unhurt aircraft later wrecked tide wave crew th squadron c b walker pilot w j dowling copilot j c amiss pilot p k turner flight engineer e c e mile flight engineer k simpson navigator e fuller wireless operator air gunner lane wireless operator air gunner f miller wireless operator air gunner r goode wireless operator air gunner l watson air gunner,2
crew performing cargo flight moscowchkalovski belomorsk intermediate stop vologda minute takeoff cruising altitude meter right engine lost power stopped shortly later left engine also failed captain attempted make emergency landing aircraft hit tree top crashed flame wooded area four crew member one passenger killed three occupant injured aircraft destroyed,26
aircraft left suva airport night routine mission auckland cruising pacific ocean seaplane crashed unknown circumstance debris found day later beach near lauthala bay trace occupant,51
crew completing training mission qualicum beach final approach aircraft hit tree top crashed flame onto house three crew member killed casualty ground,19
rotation molotov airport aircraft stalled crashed veered runway hit parked lisunov li registered cccpl came rest wooded hangar three crew member killed seven passenger seriously injured,30
touchdown tyre burst aircraft skidded several yard coming rest eight occupant unhurt aircraft damaged beyond repair,56
shortly take wrightpatterson afb aircraft stalled crashed crew fate remains unknown,49
final approach night poor weather condition height foot aircraft nosed crashed field located mile short runway occupant killed among glider pilot,32
aircraft left noumala tontouta night bound sydney u navy pilot officer board initial climb one engine failed pilot tried return airport aircraft stalled crashed st vincent bay mile airport occupant killed among u navy pilot crew st lt robert wesley kirkpatrick sgt john henry clark robert leon parr passenger lt col paul woret lt cdr welden lee hamilton lt paul edward babel lt donald randall burke lt william robert weiss lt sidney quick lt john clifford liverey lt v f flynn robert hayewood charles sterling hall ordien fenmore herr bernard gordon robinson jack foster young carl lee cobb alley burton conrad cpl lewis ray baughman pfc keith horney w owen col joseph e stevenot ellwin albert teal,4
shortly take magadan airport climbing height meter aircraft stalled crashed left bank duksha river two crew member four passenger killed,22
following uneventful maritime patrol flight seaplane flying night land south spain hit mountain slope located near puerto el cabrito tarifa algeciras eight crew member killed two others rescued crew nd squadron fsgt harold sterling brown,75
touchdown single engine aircraft went control came rest runway edge pilot slightly injured aircraft damaged beyond repair completing mail flight new york,64
en route tihwa urumqi hami crew encountered poor weather condition low cloud severe icing condition cruising minimum weather condition aircraft encountered strong downstream region chigichinze pas went control crashed altitude meter km northeast yanchi wreckage found six day later june occupant among chinese citizen killed,33
crashed landed idaho fall airport casualty,65
crew engaged sar mission atlantic ocean localize crew raf boeing b registered fa crashed sea shot german submarine km northwest feroe island unknown reason seaplane landed hard came rest upside nine occupant able evacuate took refuge two dinghy unfortunately crew us symbol arrived scene six day later june site one survivor could evacuated eight occupant found dead,44
crew engaged mission attack german submarine u cruising north atlantic ocean attack aircraft hit bullet crew decided ditch km northwest feroe island aircraft sank lost eight crew member rescued crew th squadron wc r b thomson,75
cruising altitude foot engine misfired left engine failed shortly later captain decided attempt emergency landing pasture chatsworth park near bakewell six occupant slightly injured aircraft damaged beyond repair due severe damage airframe crew th otu fo leo braham patkin pilot po robert lindsay bienvenu navigator po john leslie tolmie air bomber po william neil fisher sgt william donald blackwell wireless operator air gunner sgt james balmer air gunner,76
aircraft foot gear extended threshold strip port airscrew feathered due engine problem pilot raised undercarriage applied power starboard engine aircraft pulled port begun loose height crashed one mile north east hughes strip aircraft destroyed impact ensuing fire crew nd squadron flt j f mason flt j r wood fo w swann fsgt r j flaherty fsgt r wood sgt g r rowland fo g l knauer source httpwwwadfgallerycomau,76
aircraft left raf leeming evening june bombing mission bochum germany overflying netherlands night aircraft shot pilot german fighter crashed flame field four crew killed three others injured crew th squadron po al fellner pilot sgt j imms po g dalton po w thurston po b tedford sgt dixon po g huston source photo httpwwwsquadroncoukwillemhtm,1
aircraft left raf methwold lt bomb viaduct located near saintbrieuc approaching french coast mission cancelled due low visibility caused cloud time ventura shot pilot german fighter crashed field four crew member killed crew th squadron wo n p kanemaguire pilot fsgt j lawson navigator fsgt e w goodheart wireless operator air gunner fsgt j galley air gunner,2
crew left raf hamworthy poole dorset lt maritime patrol flight bay biscay scheduled return day later around lt seaplane failed return crashed atlantic ocean unknown circumstance trace aircraft crew member ever found,51
aircraft way mackay port moresby crew six u soldier board following permission period shortly takeoff captain decided make low pas airport people ground could take alls leave last turn aircraft christened miss every morning fixin went control stalled crashed huge explosion one km runway threshold passenger seriously injured occupant killed date worst plane crash australia crew th bg st lt vern j gidcumb jr pilot fo william c erb copilot nd lt jack ogren navigator sgt david e tileston radio operator ssgt lovell dale curtis crew chief ssgt frank e whelchel crew chief passenger pfc jerome abraham cpt john berthold william briggs sgt dan h busse tsgt james copeland sgt carl cunningham george ehrman pvt james e finney sgt leo e fletcher tsgt alfred h frezza pfc norman j goetz ssgt roy hatlen ssgt john w hilsheimer pfc vernon johnson sgt donald b kyper sgt charlie larue pvt raymond longabaugh pfc kenneth w mann cpl marlin metzger pvt charles montgomery pfc john w parker pfc frank penska maj george n powell sgt anthony rudnick cpl charles w sampson pfc arnold seidel cpl jacob skaggs jr cpl franklin f smith cpl raymond h smith pfc frederick c sweet cpl edward tenny pfc dale van fosson pvt ruben l vaugh charles williams source photo httpwwwozatwarcomozcrashesqldhtm,4
en route crew encountered problem right engine failed captain reduced altitude attempt make emergency landing km southeast maksatikha manoeuvre successfully completed one injured aircraft damaged beyond repair,58
twin engine aircraft performing flight khartoum behalf royal air force final approach height foot pilot completed last turn left join glide slope aircraft banked left stalled crashed huge explosion passenger seriously injured occupant killed day later survivor died injury crew po george edward harris pilot sgt james lissett copilot sgt brian james cox wireless operator air gunner passenger sgt douglas elliott guy brown fsgt john creighton wo neil francis gray fsgt grochowski sgt james sidney harris fsgt albert partington fsgt samuel leonard pointon wo charles matthew raven sl george michael roddy sgt ronald william smith fsgt stankowiak francis charles tanner fsgt tetnowsky wo tonczak,76
crashed unknown circumstance sea dutch harbor killing two crew member injuring four others,47
en route control lost following engine failure aircraft went spin descent one wing failed aircraft crashed field destroyed killing five crewman crew sgt lambert g williams pilot sgt william p morrison wireless operator ac patrick clarke atc albert e dawson ac edward e suckling,3
undercarriage collapsed landing reykjavik airport aircraft slid runway several yard coming rest occupant unhurt aircraft considered damaged beyond repair,56
aircraft involved escort mission night crew encountered technical problem engine captain decided ditch aircraft lt two crew member killed six others rescued crew th squadron fsgt john richard fast sgt hollick,76
aircraft crashed unknown circumstance biscayne bay killing pilot source report aircraft crashed long beach california february,47
en route aircraft caught fire unknown reason ten crewman abandoned aircraft bailed without pilot aircraft went spin crashed field located mile north admire casualty,44
crashed unknown circumstance mile southwest moses lake killing eight crew member,47
aircraft left raf oakington lt bombing mission krefeld germany overflying belgium night altitude foot aircraft intercepted amd shot two german fighter stirling lost altitude captain attempted make emergency landing final aircraft stalled hit ground went control came rest flame bank canal captain navigator killed five occupant taken pow crew th squadron bruce meiklejohn pilot charles redwood navigator bill cole flight engineer frank hugo bomb aimer leslie ellingham radio operator jack kilfoyle air gunner edgar brown air gunner,2
crashed sea km west borinquen,75
en route bomber shot pilot german fighter six crew member able bail two others killed aircraft crashed field crew killed sgt w brown fo h krohn,3
takeoff roll undercarriage failed aircraft went control came rest occupant able leave cabin uninjured aircraft caught fire destroyed,53
crashed unknown circumstance near orlans surveillance mission three crew member killed crew th squadron fo carmichael po q findlay wo j w robertson,51
crew left pennfield ridge afb new brunswick lt training mission cruising low altitude aircraft crashed unknown circumstance near summerville nova scotia four crew member killed crew po g w cowie pilot po c griffith navigator,51
crash unknown circumstance saint john river mile south jacksonvilletowers field na occupant killed,39
crew left raf congella durban maritime survey flight en route seaplane went control crashed lake saint lucia killing eight crew member crew nd squadron fo f n c white pilot fsgt h lane sgt f soady sgt r f jenkins sgt j mill sgt r cork sgt j burrington sgt r p kay,1
aircraft left raf ludford magna evening june bombing mission gelsenkirchen germany following uneventful mission returning base overflying netherlands night one engine inoperative aircraft shot pilot german fighter control aircraft crashed sea less one mile dutch coast crew member taken pow six occupant killed crew st squadron fsgt ivan william bank pilot sgt norman stanley mould flight engineer sgt harold james toze navigator sgt g brook air bomber sgt john henry william snowdon wireless operator air gunner sgt geoffrey victor branson air gunner sgt ronald pugh air gunner,2
leg hajigabul tbilisi route proving flight moscowvnukovo tbilisi crew decided land yevlakh azerbaijan due oil leak left engine exactor hydraulic control system propeller failed due design fault propeller pitch increased propeller thrust decreased making impossible reach yevlakh airfield crew made forced landing near yevlakh aircraft considered damaged beyond repair tail broke crew member passenger slightly injured,73
aircraft left dobodura airfield lt bomb airport rabaulvunakanau following uneventful mission crew left combat area attacked pilot japanese fighter aircraft christened naughty nice went control navigator able bail aircraft crashed baining mountain south rabaul nine crew member killed crew rd bg st lt william j sarsfield jr pilot nd lt charles e trimingham copilot st lt francis g peattie bombardier st lt jose l holguin navigator nd lt herman h knott bomb aimer tsgt robert l christopherson flight engineer ssgt henry garcia second flight engineer tsgt leonard gionet radio operator ssgt robert e griebel assistant radio operator ssgt pace p payne air gunner,4
crew engaged antisubmarine patrol flight fiji island coast left nausori airport day en route aircraft ditched ocean trace aircraft crew ever found crew th squadron fo alistair parata sgt albert moss wo egbert willis fsgt george billson sgt michael horgan,76
crew returning base grand island order prepare join european operation en route crew inform ground position powder river last communication around lt aircraft hit slope mountain located bighorn mountain range north part wyoming sar operation suspended day trace aircraft crew member found two cowboy found wreckage august aircraft course time accident petition veteran group wyoming unnamed mountain aircraft crashed christened bomber mountain august u forest service crew th b lt william r ronaghan pilot lt anthony tilotta copilot lt leonard h phillips navigator lt charles h suppes bombardier sgt james hind flight engineer sgt lee v millar assistant flight engineer sgt ferguson bell radio operator sgt charles e newburn jr assistant radio operator sgt jake e penick air gunner sgt lewis shepherd air gunner,76
takeoff roll tyre burst undercarriage collapse aircraft skidded runway coming rest five crewman unhurt aircraft damaged beyond repair,56
shortly take climbing aircraft stalled crashed desert area near airport occupant killed possible aircraft overloaded time accident crew sgt c adam pilot sgt g antrobus pilot cpt f attwell passenger sgt l carruthers fo j douglas sgt j eason fsgt walerian mislag fo c nicholls fsgt c g pay wo c g pinkney fsgt h ross wo j e sendall sgt v wade flt j j wojciechowski fsgt wright fsgt g j yule,1
crashed unknown circumstance louigh erne enniskillen nine crew member rescued po james leslie hodgens sgt thomas galbraith killed,51
chief motor machinist mate dana w heckart undergoing flight training pensacola copilot pby antisubmarine patrol training flight pilot lt jg john w nichols usn attempted make power stall water landing rain storm pby hit swell bounced aircraft third bounce nose aircraft buried water causing aircraft nose cockpit section separated rest aircraft sank taking chief heckart bottom survive nichols six member crew although injured survived crash,71
six minute take dutch harbor airport climbing aircraft crashed mt table top ten crew member killed,13
en route fourengine aircraft caught fire crashed loch tarbert yard shore occupant killed,17
crashed unknown circumstance mobile bay mobile killing five crew member,47
crashed unknown circumstance exmouth gulf killing four crew member injuring four others,47
captain eduard prchal survivor confirmed received green light tower began night takeoff roll pulled stick back aircraft started climb altitude foot pushed control aircraft forward gain speed discovered unable pull stick back steering mechanism jammed locked aircraft lost height rapidly captain closed four throttle warned others intercom attention crash aircraft crashed sea second take captain survivor occupant killed among polish general prime minister wladyslaw sikorski daughter zofia chief staff major general tadeusz klimecki crew th squadron passenger col victor cazalet jan gralewski maj gen tadeusz klimecki adj adam kulakowski zofia lesniowska walter heathcote lock col andrzej marecki adj harry pinder lt jzef ponikiewski gen wladyslaw sikorski brig john percival whiteley,71
aircraft took lt carry practice dr practice night flight baseflinderscurriehogan groupbase aircraft wireless silence failed return maximum endurance aircraft hour aircraft failed return search proved negative crew po john james bowman pilot po alan joseph malone navigator po harry robert alfred guymer wireless operator air gunner po alexander frederick mcdonald wireless operator air gunner po john alexander buchanan air gunner source httpwwwadfgallerycomau,76
flying along coast guadalcanal island twin engine aircraft shot pilot japanese fighter crashed sea five crew member killed crew rd squadron flt wilfred rutherford fo vivian eady sgt lisle smith sgt william lankshear sgt john mcdougall,1
overshot landing gibraltar crashed sea casualty,65
touchdown undercarriage collapsed aircraft skidded veered runway came rest occupant escaped uninjured aircraft damaged beyond repair,54
crew performing training flight jointly another oxford registered carrying crew two well cruising altitude foot aircraft collided unknown circumstance control dove ground crashed prairie four pilot killed crew nd sfts fo benedikt blatn pilot po george moffat urwin pilot,51
crew performing training flight jointly another oxford registered carrying crew two well cruising altitude foot aircraft collided unknown circumstance control dove ground crashed prairie four pilot killed crew nd sfts lac svatopluk mal pilot lac alfred charles channon pilot,51
c flying formation lockheed ca electra junior registered crew could photograph dropping dummy combat tank c tank released pilot ca made quick turn left striking c right wingtip ca entered spin crashed near runway killing five crew member c continued foot allowing two passenger bail plane crashed vertical dive killing three crewman source httpwwwjoebaughercom,12
ca flying formation c registered crew could photograph dropping dummy combat tank c tank released pilot ca made quick turn left striking c right wingtip ca entered spin crashed near runway killing five crew member c continued foot allowing two passenger bail plane crashed vertical dive killing three crewman source httpwwwjoebaughercom,12
taking part invasion sicily husky operation paratrooper jumped aircraft shot antiaircraft fire crashed field four crew member killed,11
taking part sicily invasion aircraft shot antiaircraft fire crashed km northeast gela four crew member nd tc killed,11
aircraft left tunisel aouina airport bound castel benito crew three board cruising along tunisian coast altitude foot engine failed captain attempted ditch aircraft rough sea hour later rescued crew member lost sea crew fsgt r w cargill pilot wo john james smith navigator fsgt daniel james arthur hannan wireless operator air gunner,74
crew involved bombing mission penfoei crew five en route cruising jointly three similar aircraft crew informed weather deteriorating destination three aircraft crew decided return departure point captain decided continue minute later cruising low visibility due poor weather condition aircraft hit mount kekneno located km northeast kupang destroyed impact debris found day later five crew killed crew nd squadron sl c c williams pilot fo r c lindsay air gunner fo w hepworth wireless operator air gunner flt fowler navigator fsgt c farmer,2
crew engaged training flight group six dakota left local air base afternoon complete combined exercise en route v formation c went course hit right wing left wing usaf c registered carrying crew four following collision aircraft went control dove ground crashed field located mile west hemingford eight crew member aircraft killed,19
crew engaged training flight group six dakota left local air base afternoon complete combined exercise en route v formation c registered carrying crew four went course hit right wing left wing c following collision aircraft went control dove ground crashed field located mile west hemingford eight crew member aircraft killed,19
taking part invasion sicily husky operation paratrooper jumped aircraft shot antiaircraft fire crashed sea scoglitti four crew member killed,11
taking part invasion sicily husky operation paratrooper jumped aircraft shot antiaircraft fire crashed field five crew member killed,11
crew involved bombing mission babo region aircraft shot pilot japanese fighter crashed jungle trace aircraft crew found wreckage eventually located may crew ssgt eugene h allen ssgt charles r cross t ronald dardis nd lt marcus friedlander nd lt william f kahn ssgt clyde e kallstrom st lt francis g mcdowell ssgt daniel murphy nd lt gilman f shelley ssgt leonard j wozniak,77
en route crew forced attempt emergency landing following engine failure crew member unhurt aircraft damaged beyond repair,57
final approach height foot aircraft bank left stalled crashed flame short runway threshold three passenger three crew member killed,29
crew taking part invasion sicily operation christened husky approaching gela twin engine aircraft mistakenly shot friendly fire crashed sea km shore four crew member killed crew th tcg sgt courtney allington st lt harold j funk tsgt william h mundy nd lt richard steeb,4
three minute night take tunisel aouina airport initial climb aircraft caught fire crashed flame km northwest airport aircraft totally destroyed six occupant killed crew th squadron fo g v gibson pilot fo h g spencer copilot lt yardwyn navigator fsgt k patterson wireless operator passenger wcdr f leslie maj baxter source httpwwwrafcommandscomforumshowthreadphpdakotafddummyparachutists,3
crew taking part invasion sicily operation christened husky scoglitti twin engine aircraft mistakenly shot friendly fire control dove ground crashed field killing crew member crew th tc nd lt franklin danyluk nd lt robert flack ssgt thomas mathie st lt william h shetterly ssgt ray c walter,4
crew taking part invasion sicily operation christened husky scoglitti twin engine aircraft mistakenly shot friendly fire control dove ground crashed field killing crew member crew th tc cpl william k eccles nd lt walter f ferchen nd lt sabatino lusi cpt theodore v rockwell tsgt george r sanderson,4
crew taking part invasion sicily operation christened husky scoglitti paratrooper bailed twin engine aircraft mistakenly shot friendly fire control dove ground crashed field located km northwest scoglitti killing crew member crew th tc nd lt william botkins cpl james g delaney tsgt buford e durden fo john r uphouse,4
crew taking part invasion sicily operation christened husky approaching gela twin engine aircraft mistakenly shot friendly fire crashed sea km shore six crew member killed crew th tc cpt armstrong pilot maj william n dekker cpt charles dobbin maj tracy h jackson msgt william k mayo tsgt edwin morgan,4
crew taking part invasion sicily operation christened husky scoglitti twin engine aircraft mistakenly shot friendly fire control dove ground crashed field located mile northwest scoglitti killing crew member crew th af st lt gordon j benson cpt james millard st lt robert c porter cpl russell g schluchter jr tsgt william j shafer,4
crew taking part invasion sicily operation christened husky scoglitti twin engine aircraft mistakenly shot friendly fire control dove ground crashed field killing crew member crew nd lt rodney j macgregor nd lt william henry morgan tsgt howard c onstine,4
crew taking part invasion sicily operation christened husky licata twin engine aircraft mistakenly shot friendly fire dove ground crashed field killing crew member crew th af cpt richard churchill sgt howard flannigan fo lucien mobley st lt milton ratner tsgt george singer,4
crashed unknown circumstance tulagi harbor killing seven crew member,47
